Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Gaming,6142738,345937,3552,14477,2015-06-29
Comedy,14736373,447910,7455,11337,2015-06-18
Comedy,15652669,550782,6516,30426,2015-06-13
Entertainment,31395958,1181809,43003,58247,2015-05-29
Comedy,13719193,557291,6066,15712,2015-05-25
Entertainment,31687049,851122,11026,33904,2015-05-21
Comedy,19880311,591906,8134,26062,2015-05-12
Comedy,25146097,740765,12518,34779,2015-05-03
Entertainment,11282795,478658,9280,14608,2015-04-30
Comedy,22656480,623133,12485,32899,2015-04-28
Entertainment,7518442,366399,6225,7523,2015-04-21
Comedy,16917153,629510,5725,37198,2015-04-12
Comedy,9062725,362167,12373,18712,2015-03-31
Comedy,23029185,540852,10006,26447,2015-03-23
Comedy,13069729,312316,4492,9272,2015-03-19
Entertainment,11976932,272777,4542,7255,2015-03-16
Gaming,4793351,202319,2456,15874,2015-03-15
Comedy,39748101,926857,14750,48882,2015-03-10
Entertainment,13811593,369372,5002,12805,2015-03-06
Gaming,20232093,630428,9309,35248,2015-02-28
Comedy,37087993,936254,11433,56880,2015-02-22
Gaming,15160783,576188,11410,55243,2015-02-20
Entertainment,22686040,813430,9700,43254,2015-02-16
Entertainment,18311971,525458,8711,23486,2015-01-31
Comedy,26977014,819542,14056,56190,2015-01-23
Gaming,4898633,187459,2729,14468,2015-01-16
Comedy,14769890,458997,7074,19871,2015-01-07
Gaming,10041989,228535,3582,10600,2015-01-02
Entertainment,19369995,578723,6866,153074,2014-12-24
Gaming,13733216,277605,4153,9051,2014-12-16
Comedy,34208610,773058,13951,46943,2014-12-13
Entertainment,7672183,205878,3639,8786,2014-12-08
Gaming,40350535,851815,11752,45750,2014-12-02
Comedy,11881011,321959,4852,11393,2014-11-30
Gaming,6655931,271576,5257,9738,2014-11-28
Comedy,9680329,328833,3372,15837,2014-11-24
Gaming,13833199,325761,6759,10646,2014-11-18
Comedy,19096505,474665,6307,33436,2014-11-16
Gaming,8957508,221319,4007,6991,2014-11-09
Entertainment,8225365,181397,5546,7692,2014-11-07
Gaming,11904678,262210,3133,11319,2014-11-04
Comedy,15798647,476467,5324,29617,2014-10-27
Gaming,7318858,220608,3817,9015,2014-10-22
Gaming,11580986,238068,6451,12243,2014-10-19
Gaming,8156574,264871,5248,10805,2014-10-17
Comedy,19689853,533417,7859,37944,2014-10-10
Gaming,21778920,360495,6118,13824,2014-10-02
Entertainment,5073339,151981,1791,8340,2014-10-01
Entertainment,29837783,982023,15652,87628,2014-09-19
Comedy,14258755,443099,9088,10774,2014-09-10
Gaming,8113689,341547,3092,22445,2014-09-02
Gaming,15363741,462579,7339,16570,2014-08-29
Gaming,15847476,286538,5697,9491,2014-08-24
Gaming,7438510,238355,2543,12811,2014-08-23
Gaming,5639408,373679,8500,17897,2014-08-22
Gaming,9579984,232165,3928,9326,2014-08-18
Gaming,14719431,427191,5918,36363,2014-08-14
Gaming,11305859,216385,4825,7718,2014-08-08
Gaming,10197746,236643,7170,9619,2014-07-17
Gaming,11132482,418751,4953,11608,2014-07-14
Gaming,18998307,457341,4712,15725,2014-07-08
Gaming,9234304,214134,2615,6959,2014-07-01
Gaming,9219975,232952,6087,12454,2014-06-28
Entertainment,9303487,321733,4523,25672,2014-06-25
Entertainment,12842144,247665,4323,6946,2014-06-23
Gaming,13277195,246628,3582,8591,2014-06-21
Gaming,16698930,445128,8916,35121,2014-05-25
Gaming,6610608,235094,2509,13497,2014-05-17
Gaming,9188072,284797,3652,11289,2014-05-14
Gaming,3339831,137057,1505,7605,2014-05-07
Gaming,9433323,308604,3845,22118,2014-05-05
Gaming,22521976,899730,9889,72871,2014-05-01
Gaming,9826844,204236,3747,9855,2014-04-20
Gaming,12246214,540505,3622,26533,2014-04-16
Comedy,14674729,343079,5392,28958,2014-03-25
Gaming,14251394,251236,3784,10129,2014-03-21
Gaming,8687861,302007,3189,16256,2014-03-17
Gaming,7717413,158605,4014,6202,2014-03-14
Gaming,10852440,204354,3068,11315,2014-03-10
Gaming,19592870,453629,15795,26209,2014-03-06
Comedy,12964679,217430,4672,6550,2014-03-04
Comedy,13433227,342127,4647,26130,2014-02-05
Gaming,4780870,135875,2634,6537,2014-01-30
Gaming,15377319,257263,5078,18377,2014-01-17
Gaming,10077335,290947,6374,17932,2014-01-13
Comedy,8301064,152882,3276,5986,2014-01-07
Entertainment,6605006,257779,5494,65651,2013-12-27
Entertainment,14370596,442778,4379,23701,2013-12-23
Comedy,5891986,141961,3840,6728,2013-12-05
Comedy,11773798,276303,5476,15222,2013-11-27
Gaming,7364273,142078,2769,8659,2013-11-02
Comedy,8678644,162988,2997,9201,2013-10-21
Gaming,8797315,169369,2943,10389,2013-10-12
Gaming,8934892,172509,2364,9317,2013-10-08
Comedy,13027117,248821,4732,16416,2013-09-17
Comedy,11867435,336442,21522,40706,2013-09-04
Comedy,8432888,161577,3664,12005,2013-09-01
Comedy,22234949,465726,5333,36270,2013-08-19
Comedy,6649401,270733,4566,23123,2013-07-24
Comedy,1427538,86992,1575,803,2013-06-07
Comedy,17518521,375412,3805,40380,2013-05-28
Comedy,2724769,83554,1146,13881,2013-04-29
Comedy,5633835,106960,2273,8900,2013-04-27
Comedy,34667781,908688,13317,71891,2013-04-12
Comedy,15085756,286423,3451,33233,2013-03-29
Comedy,8487437,215101,4163,23133,2013-03-22
Comedy,25635992,535539,13863,53379,2013-03-12
Comedy,28248103,704238,11551,39561,2013-03-04
Comedy,8906889,297768,2589,48596,2013-02-18
Comedy,14660334,217535,3841,19433,2013-02-12
Comedy,21686031,386192,4281,30896,2013-01-31
Comedy,5374177,103219,2899,15994,2013-01-27
Comedy,20229881,334274,3669,27015,2013-01-03
Comedy,4676926,101740,2441,7940,2012-12-19
Comedy,16775611,377195,7222,36892,2012-11-19
Comedy,19020711,431895,7638,32138,2012-10-24
Comedy,10916541,162738,3542,10192,2012-10-18
Comedy,24514578,416923,5851,33304,2012-10-07
Comedy,7509896,114947,1894,5946,2012-09-21
Comedy,4339935,96250,2162,8053,2012-08-12
Comedy,10842848,199269,4812,10488,2012-05-30
Comedy,3780106,71790,1135,5517,2012-05-17
Comedy,2603067,62897,842,3240,2012-03-17
Comedy,12582479,212629,7019,10134,2012-02-16
Gaming,17425924,335953,8533,11951,2012-01-05
