Channel Category,Views,Likes,Dislikes,Comments,Publish Date
How-to & Style,3870299,18486,2043,841,2017-06-26
How-to & Style,112588,2129,104,147,2017-06-22
How-to & Style,1820258,16005,931,838,2017-06-19
How-to & Style,33661062,134954,28350,10606,2017-06-18
How-to & Style,18798210,95088,12510,6121,2017-06-04
How-to & Style,64791219,312074,75426,15117,2017-05-27
How-to & Style,10420240,50746,8820,2812,2017-05-23
How-to & Style,6330667,32364,3739,1358,2017-05-14
How-to & Style,715534,7332,1128,775,2017-05-13
How-to & Style,268277,2815,350,207,2017-05-09
How-to & Style,194914,2559,183,202,2017-04-30
How-to & Style,7228506,41578,6500,2081,2017-04-29
How-to & Style,1782295,17449,1269,746,2017-04-25
How-to & Style,387956,2872,554,310,2017-04-12
How-to & Style,16238001,70044,9317,2734,2017-04-11
How-to & Style,18074014,135815,19992,4996,2017-04-08
How-to & Style,211430,2353,337,279,2017-04-07
How-to & Style,75711286,529989,52543,21479,2017-04-01
How-to & Style,8028866,47317,5687,2906,2017-03-20
How-to & Style,13166223,89425,8030,3815,2017-03-17
How-to & Style,6994641,43676,4433,890,2017-03-15
How-to & Style,1892589,18369,1594,724,2017-03-13
How-to & Style,13012946,140881,7180,3091,2017-03-13
How-to & Style,235328,3378,411,338,2017-02-25
How-to & Style,59044674,180820,35699,8581,2017-02-23
How-to & Style,208608,1682,215,224,2017-02-21
How-to & Style,21267737,143597,16651,12115,2017-02-21
How-to & Style,34008144,223265,18095,10534,2017-02-10
Science & Technology,6980659,61142,2958,2137,2017-02-09
How-to & Style,6979473,32022,3331,726,2017-02-03
How-to & Style,16587531,100065,12226,2945,2017-02-02
How-to & Style,5996734,58150,4965,1048,2017-02-01
How-to & Style,4951691,51838,3994,2900,2017-01-26
How-to & Style,7570604,41402,6712,1089,2017-01-26
How-to & Style,221688,1378,100,45,2017-01-16
How-to & Style,107735,285,39,5,2017-01-13
How-to & Style,64496769,413545,76466,17542,2017-01-13
How-to & Style,55264,210,7,4,2016-11-30
